Grammy,Year,Category,Main Artist,Artist,Cleaned Song or Album,Song or Album,Win,Cleaned Main Artist,Wiki URL,ArtistID,Song ID
55,2012,Song Of The Year,Kelly Clarkson,Kelly Clarkson,Stronger,Stronger (What Doesn't Kill You),0,Kelly Clarkson,https://en.wikipedia.org/wiki/Kelly_Clarkson,A610,S68563
55,2012,Song Of The Year,Carly Rae Jepsen,Carly Rae Jepsen,Call Me Maybe,Call Me Maybe,0,Carly Rae Jepsen,https://en.wikipedia.org/wiki/Carly_Rae_Jepsen,A1357,S70237
55,2012,Song Of The Year,Miguel,Miguel,Adorn,Adorn,0,Miguel,https://en.wikipedia.org/wiki/Miguel_(singer),A1265,S72581
55,2012,Song Of The Year,Ed Sheeran,Ed Sheeran,The A Team,The A Team,0,Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran,A1381,S72294
55,2012,Best Rap Song,Jay-Z,Jay-Z & Kanye West,Niggas In Paris,N****s In Paris,1,Jayz,https://en.wikipedia.org/wiki/Jay-Z,A102,S67474
55,2012,Best Rap Song,Snoop Dogg,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,Young Wild & Free,"Young, Wild & Free",0,Snoop Dogg,https://en.wikipedia.org/wiki/Snoop_Dogg,A17,S68309
55,2012,Best Rap Song,Drake,Drake Featuring Lil' Wayne,The Motto,The Motto,0,Drake,https://en.wikipedia.org/wiki/Drake_(musician),A1171,S68817
55,2012,Best Rap Song,Kanye West,"Kanye West Featuring Big Sean, Pusha T & 2 Chainz",Mercy,Mercy,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S70837
55,2012,Best Rap Song,Wale,Wale Featuring Miguel,Lotus Flower Bomb,Lotus Flower Bomb,0,Wale,https://en.wikipedia.org/wiki/Wale_(rapper),A1200,S68586
55,2012,Best Rap Song,Nas,Nas,Daughters,Daughters,0,Nas,https://en.wikipedia.org/wiki/Nas,A233,S31967
54,2011,Record Of The Year,Adele,Adele,Rolling In The Deep,Rolling In The Deep,1,Adele,https://en.wikipedia.org/wiki/Adele,A1138,S63967
54,2011,Record Of The Year,Katy Perry,Katy Perry,Firework,Firework,0,Katy Perry,https://en.wikipedia.org/wiki/Katy_Perry,A1091,S63256
54,2011,Record Of The Year,Mumford,Mumford & Sons,The Cave,The Cave,0,Mumford,,A1259,S64798
54,2011,Record Of The Year,Bruno Mars,Bruno Mars,Grenade,Grenade,0,Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,A1255,S62980
54,2011,Record Of The Year,Bon Iver,Bon Iver,Holocene,Holocene,0,Bon Iver,https://en.wikipedia.org/wiki/Bon_Iver,A2278,S135831
54,2011,Song Of The Year,Adele,Adele,Rolling In The Deep,Rolling In The Deep,1,Adele,https://en.wikipedia.org/wiki/Adele,A1138,S63967
54,2011,Song Of The Year,Bon Iver,Bon Iver,Holocene,Holocene,0,Bon Iver,https://en.wikipedia.org/wiki/Bon_Iver,A2278,S135831
54,2011,Song Of The Year,Bruno Mars,Bruno Mars,Grenade,Grenade,0,Bruno Mars,https://en.wikipedia.org/wiki/Bruno_Mars,A1255,S62980
54,2011,Song Of The Year,Mumford,Mumford & Sons,The Cave,The Cave,0,Mumford,,A1259,S64798
54,2011,Song Of The Year,Kanye West,"Kanye West, Rihanna, Kid Cudi & Fergie",All Of The Lights,All Of The Lights,0,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S63791
54,2011,Best Rap Song,Kanye West,"Kanye West, Rihanna, Kid Cudi & Fergie",All Of The Lights,All Of The Lights,1,Kanye West,https://en.wikipedia.org/wiki/Kanye_West,A717,S63791
